test_year,train_years,validation_years,feature_set,apex_plus_factor,min_train_rows,n_all,n_drafted,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,position_apex_raw_spearman_all,position_apex_raw_spearman_drafted,position_apex_raw_hit_auc_drafted,position_apex_raw_precision_at_32,position_apex_raw_precision_at_64,position_apex_raw_ndcg_at_32,position_apex_raw_ndcg_at_64,position_apex_plus_spearman_all,position_apex_plus_spearman_drafted,position_apex_plus_hit_auc_drafted,position_apex_plus_precision_at_32,position_apex_plus_precision_at_64,position_apex_plus_ndcg_at_32,position_apex_plus_ndcg_at_64,delta_plus_vs_pick_spearman_drafted,delta_plus_vs_market_spearman_drafted,delta_raw_vs_pick_spearman_drafted,delta_plus_vs_raw_spearman_drafted
2011,<= 2010,2009-2010,profile,3.5,300,365,236,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.7941,0.5622,0.8211,0.6562,0.375,0.9252,0.9005,0.7493,0.4458,0.7923,0.5312,0.3594,0.8567,0.8551,-0.1679,-0.1585,-0.0515,-0.1164
2012,<= 2011,2010-2011,profile,3.5,300,365,233,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8085,0.6004,0.7842,0.4688,0.3594,0.8864,0.8969,0.8023,0.576,0.7621,0.4062,0.375,0.867,0.8895,-0.0073,-0.0144,0.0171,-0.0244
2013,<= 2012,2011-2012,profile,3.5,300,370,241,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.8023,0.5868,0.7964,0.4062,0.375,0.8852,0.9059,0.7865,0.5544,0.7821,0.4062,0.3438,0.8143,0.8453,-0.0221,-0.0306,0.0103,-0.0324
2014,<= 2013,2012-2013,profile,3.5,300,365,243,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8045,0.6202,0.8289,0.5,0.3594,0.9136,0.9079,0.8021,0.627,0.8451,0.5625,0.3594,0.8951,0.8901,0.052,0.0289,0.0451,0.0069
2015,<= 2014,2013-2014,profile,3.5,300,732,245,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7329,0.6103,0.8272,0.7812,0.6406,0.9629,0.9502,0.7162,0.5832,0.8275,0.75,0.6562,0.9454,0.9416,0.0054,-0.002,0.0325,-0.0272
2016,<= 2015,2014-2015,profile,3.5,300,454,246,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8298,0.584,0.7935,0.5,0.4219,0.9057,0.9114,0.8087,0.4991,0.7519,0.3438,0.3125,0.8456,0.8607,-0.0742,-0.0819,0.0107,-0.0849
2017,<= 2016,2015-2016,profile,3.5,300,582,237,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7839,0.5829,0.7871,0.625,0.5,0.9407,0.9366,0.7623,0.4987,0.7652,0.5,0.5156,0.8863,0.8949,-0.0776,-0.0899,0.0067,-0.0843
2018,<= 2017,2016-2017,profile,3.5,300,589,240,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8181,0.6487,0.8147,0.7188,0.5469,0.9564,0.9507,0.8009,0.5492,0.7579,0.5938,0.4844,0.9195,0.9256,-0.0806,-0.103,0.019,-0.0996
2019,<= 2018,2017-2018,profile,3.5,300,640,234,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7758,0.6345,0.8309,0.7812,0.5938,0.9616,0.955,0.7697,0.5988,0.7895,0.5938,0.5312,0.9283,0.9377,-0.0092,-0.0166,0.0265,-0.0357
2020,<= 2019,2018-2019,profile,3.5,300,325,209,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8339,0.603,0.8519,0.4062,0.375,0.881,0.9076,0.7975,0.5508,0.8042,0.2812,0.3438,0.86,0.8806,-0.0542,-0.0426,-0.002,-0.0522
2021,<= 2020,2019-2020,profile,3.5,300,403,199,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8153,0.6157,0.8197,0.5312,0.4531,0.9269,0.9281,0.8137,0.6118,0.8024,0.5,0.4219,0.9073,0.9251,0.0261,0.0138,0.03,-0.004
